District,State,Growth,Sex_Ratio,Literacy
Ukhrul,Manipur,31,943,81.35
Papumpare,Arunachal Pradesh,45,980,79.95
Wokha,Nagaland,99,968,87.69
Phek,Nagaland,112,951,78.05
Lunglei,Mizoram,18,947,88.86
Changlang,Arunachal Pradesh,18,926,59.8
South Sikkim,Sikkim,12,915,81.42
Lohit,Arunachal Pradesh,17,912,68.18
Chandel,Manipur,22,933,71.11
South Garo Hills,Meghalaya,41,945,71.72
New Delhi,Delhi,-21,822,88.34
Kargil,Jammu and Kashmir,18,810,71.34
Zunheboto,Nagaland,78,976,85.26
Tamenglong,Manipur,26,943,70.05
Narayanpur,Chhattisgarh,19,994,48.62
West Sikkim,Sikkim,11,942,77.39
Leh,Jammu and Kashmir,14,690,77.2
Champhai,Mizoram,16,984,95.91
Lawngtlai,Mizoram,60,945,65.88
West Siang,Arunachal Pradesh,8,930,66.46
Tirap,Arunachal Pradesh,12,944,52.19
North And Middle Andaman,Andaman And Nicobar Islands,0,925,83.91
East Siang,Arunachal Pradesh,14,980,72.54
Peren,Nagaland,104,915,77.95
Kurung Kumey,Arunachal Pradesh,117,1032,48.75
Mamit,Mizoram,38,927,84.93
Kinnaur,Himachal Pradesh,7,819,80
Kolasib,Mizoram,27,956,93.5
West Kameng,Arunachal Pradesh,13,819,67.07
Upper Subansiri,Arunachal Pradesh,51,998,63.8
Lower Subansiri,Arunachal Pradesh,49,984,74.35
East Kameng,Arunachal Pradesh,38,1029,60.02
Kiphire,Nagaland,39,956,69.54
Serchhip,Mizoram,21,977,97.91
Lakshadweep,Lakshadweep,6,946,91.85
Saiha,Mizoram,-7,979,90.01
Yanam,Puducherry,77,1038,79.47
Lower Dibang Valley,Arunachal Pradesh,7,928,69.13
